Card No., Card name, When released, When released another format, History of the card, Number of times the card was changed
1,Knight,4 January 2016,04/01/2016,"29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Knight. The Knight's card image was also changed.
18/05/2016|On 18/5/2016, a Balance Update, increased the Knight's hitpoints by 10%.
12/12/2017|On 12/12/2017, the Electrifying Update, decreased the Knight’s hit speed to 1.2 seconds (from 1.1 seconds).
12/02/2018|On 12/2/2018, a Balance Update, decreased the Knight's hitpoints by 6%.
25/04/2018|On 25/4/2018, the Clan Wars Update, increased the Knight’s hitpoints by 3%.
06/08/2018|On 6/8/2018, a Balance Update, increased the Knight's damage by 5%.
04/02/2019|On 4/2/2019, a Balance Update, increased the Knight's hitpoints by 2.5%.
01/07/2019|On 1/7/2019, the July 2019 Update, increased the Knight's range to 1.2 tiles (from 1 tile), now classified as Melee: Medium.
02/12/2019|On 2/12/2019, a Balance Update, increased the Knight's hitpoints by 5%.
30/03/2021|On 30/3/21, a Balance Update decreased the Knight's hitpoints by 5%.",10
2,Archers,4 January 2016,04/01/2016,"29/02/2016|On 29/2/2016, the March 2016 Update, decreased the sight range of the Archers.
23/03/2016|On 23/3/2016, a Balance Update, made their initial attack quicker (identical to Spear Goblins).
03/05/2016|On 3/5/2016, the May 2016 Update, increased the Common card level cap to 13 (from 12). The update also fixed the “range bug”, which decreased the Archers' range to 5 (from 5.5) but their effective range was unchanged.
24/08/2016|On 24/8/2016, a Balance Update, increased the Archers' damage by 2%. Before this update, level 9 or level 13 Archers used to take 3 shots to kill an equal level Goblin instead of 2 when they are at the same level.
19/09/2016|On 19/9/2016, the September 2016 Update, changed the description slightly. It used to say: “A pair of unarmored ranged attackers. They'll help you with ground and air unit attacks, but you're on your own with coloring your hair.""
23/01/2017|On 23/1/2017, a Balance Update, decreased the Archers' hitpoints by 4%.
16/03/2017|On 16/3/2017, a maintenance break, fixed some unexpected behaviour that the Archers showed.
03/12/2018|On 3/12/2018, a Balance Update, increased the Archers’ damage by 2.5%, but also decreased their hitpoints by 1%.
