01/2016,"Knight|0|04/01/2016|Knight was released.
Archers|0|04/01/2016|Archers was released.
Goblins|0|04/01/2016|Goblins was released.
Giant|0|04/01/2016|Giant was released.
P.E.K.K.A|0|04/01/2016|P.e.k.k.a was released.
Minions|0|04/01/2016|Minions was released.
Balloon|0|04/01/2016|Balloon was released.
Witch|0|04/01/2016|Witch was released.
Witch|1|11/01/2016|The first update, decreased the witch's spawned skeletons level by 1. before this update, a level 13 witch would be able to spawn level 14 skeletons.
Barbarians|0|04/01/2016|Barbarians was released.
Golem|0|04/01/2016|Golem was released.
Skeletons|0|04/01/2016|Skeletons was released.
Valkyrie|0|04/01/2016|Valkyrie was released.
Skeleton Army|0|04/01/2016|Skeleton army was released.
Bomber|0|04/01/2016|Bomber was released.
Musketeer|0|04/01/2016|Musketeer was released.
Baby Dragon|0|04/01/2016|Baby dragon was released.
Prince|0|04/01/2016|Prince was released.
Prince|1|11/01/2016|The first update, decreased the prince's hitpoints by 4%.
Wizard|0|04/01/2016|Wizard was released.
Mini P.E.K.K.A|0|04/01/2016|Mini p.e.k.k.a was released.
Spear Goblins|0|04/01/2016|Spear goblins was released.
Giant Skeleton|0|04/01/2016|Giant skeleton was released.
Hog Rider|0|04/01/2016|Hog rider was released.
Minion Horde|0|04/01/2016|Minion horde was released.
Cannon|0|04/01/2016|Cannon was released.
Goblin Hut|0|04/01/2016|Goblin hut was released.
Mortar|0|04/01/2016|Mortar was released.
Mortar|1|11/01/2016|The first update, decreased the mortar's lifetime to 40 seconds (from 60 seconds).
Inferno Tower|0|04/01/2016|Inferno tower was released.
Bomb Tower|0|04/01/2016|Bomb tower was released.
Barbarian Hut|0|04/01/2016|Barbarian hut was released.
Tesla|0|04/01/2016|Tesla was released.
Elixir Collector|0|04/01/2016|Elixir collector was released.
X-Bow|0|04/01/2016|X-bow was released.
Tombstone|0|04/01/2016|Tombstone was released.
Fireball|0|04/01/2016|Fireball was released.
Arrows|0|04/01/2016|Arrows was released.
Rage|0|04/01/2016|Rage was released.
Rocket|0|04/01/2016|Rocket was released.
Goblin Barrel|0|04/01/2016|Goblin barrel was released.
Goblin Barrel|1|11/01/2016|The first update, decreased the spawned goblins level by 1. prior to the balance, a max level goblin barrel could spawn level 14 goblins, which was 2 levels higher than the max level at the time.
Freeze|0|04/01/2016|Freeze was released.
Mirror|0|04/01/2016|Mirror was released.
Lightning|0|04/01/2016|Lightning was released.
Zap|0|04/01/2016|Zap was released."
02/2016,"Knight|1|29/02/2016|The march 2016 update, decreased the sight range of the knight. the knight's card image was also changed.
